product_id,Product,Category,price
1,Philips Sonicare ProtectiveClean 6100 Electric Toothbrush,Electronics,695.98
2,LG Smart French Door Refrigerator,Electronics,540.18
3,Samsung Galaxy Watch 5 Pro,Electronics,457.07
4,Samsung Galaxy Watch 5 Pro,Home Appliances,747.96
5,BenQ TK850i 4K HDR Projector,Home Appliances,352.89
6,Smeg Retro 50's Style Refrigerator,Accessories,908.41
7,Sonos Arc Soundbar,Accessories,801.94
8,Anker PowerCore 26800 Portable Charger,Electronics,530.14
9,DeLonghi Magnifica Coffee Machine,Electronics,122.03
10,Burberry Check Scarf,Electronics,884.99
11,Amazon Echo Dot (4th Gen),Electronics,651.47
12,Acer Predator Helios 300 Gaming Laptop,Electronics,535.22
13,Fitbit Charge 5 Fitness Tracker,Accessories,390.02
14,Montblanc Meisterstück Fountain Pen,Electronics,959.9
15,Google Nest Hub Max,Electronics,118.89
16,Sony WH-1000XM5 Headphones,Electronics,890.75
17,Miele Complete C3 Canister Vacuum,Home Appliances,307.15
18,Pandora Charm Bracelet,Electronics,651.97
19,Sony A7R IV Full-Frame Mirrorless Camera,Accessories,766.1
20,Samsung Smart Microwave Oven,Electronics,872.47
21,Sennheiser Momentum True Wireless 3 Earbuds,Accessories,972.57
22,Fitbit Versa 4,Home Appliances,616.87
23,Bose SoundLink Revolve+ Bluetooth Speaker,Electronics,595.86
24,Apple iPhone 14 Pro,Home Appliances,270.07
25,Tumi Alpha 3 Briefcase,Electronics,231.28
26,Ember Temperature Control Smart Mug,Home Appliances,735.03
27,Bosch 800 Series Dishwasher,Electronics,706.08
28,Garmin Fenix 7X Sapphire Solar GPS Watch,Home Appliances,391.59
29,Microsoft Surface Pro 9,Electronics,172.64
30,Google Pixel 7 Pro,Accessories,879.31
31,Apple AirPods Max,Accessories,537.09
32,Honeywell QuietSet Tower Fan,Electronics,331.57
33,Harman Kardon Onyx Studio 7,Electronics,644.4
34,Ring Video Doorbell Pro 2,Electronics,726.36
35,Gucci GG Marmont Belt,Accessories,860.37
36,Oculus Quest 2 VR Headset,Accessories,22.27
37,NVIDIA GeForce RTX 3080 Graphics Card,Electronics,752.55
38,"Apple MacBook Pro (16-inch, M1 Max)",Accessories,545.08
39,Apple MacBook Air (M2),Home Appliances,890.43
40,Shark Navigator Lift-Away Vacuum Cleaner,Electronics,966.83
41,Bose QuietComfort Earbuds,Accessories,948.45
42,Keurig K-Elite Single Serve Coffee Maker,Electronics,819.79
43,Cuisinart AirFryer Toaster Oven,Electronics,401.06
44,Moncler Logo Beanie,Electronics,471.21
45,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Accessories,533.98
